file,gt_total,gt_date,gt_company,base_total,base_total_ok,base_date,base_date_ok,base_company,base_company_ok,base_state,base_iters,agent_total,agent_total_ok,agent_date,agent_date_ok,agent_company,agent_company_ok,agent_state,agent_iters
116.jpg,116.28,2018-01-11,SYARIKAT PERNIAGAAN GIN KEE,116.28,True,2018-01-11,True,SYARIKAT PERNIAGAAN GIN KEE,True,FLAGGED_FOR_REVIEW,0,116.28,True,2018-01-11,True,SYARIKAT PERNIAGAAN GIN KEE,True,FLAGGED_FOR_REVIEW,1
398.jpg,2.10,2016-06-04,99 SPEED MART S/B,2.1,True,2016-06-04,True,99 SPEED MART S/B (519537-X),True,VERIFIED,0,2.1,True,2016-06-04,True,99 SPEED MART S/B (519537-X),True,VERIFIED,0
017.jpg,39.80,2017-11-20,LIGHTROOM GALLERY SDN BHD,39.8,True,2017-11-20,True,LIGHTROOM GALLERY SDN BHD,True,FLAGGED_FOR_REVIEW,0,39.8,True,2017-11-20,True,LIGHTROOM GALLERY SDN BHD,True,VERIFIED,1
141.jpg,7.00,2018-03-12,RESTORAN WAN SHENG,7.0,True,2018-03-12,True,RESTORAN WAN SHENG,True,FLAGGED_FOR_REVIEW,0,7.0,True,2018-03-12,True,RESTORAN WAN SHENG,True,FLAGGED_FOR_REVIEW,2
620.jpg,58.00,2018-06-17,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,58.0,True,2018-06-17,True,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD (1120908-M),True,VERIFIED,0,58.0,True,2018-06-17,True,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD (1120908-M),True,VERIFIED,0
295.jpg,$9.90,2018-04-19,UNIHAKKA INTERNATIONAL SDN BHD,9.9,True,2018-04-19,True,UNIHAKKA INTERNATIONAL SDN BHD,True,VERIFIED,0,9.9,True,2018-04-19,True,UNIHAKKA INTERNATIONAL SDN BHD,True,VERIFIED,0
254.jpg,635.00,15/APR/2017,BEMED (SP) SDN. BHD.,635.0,True,2017-04-15,True,BEMED (SP) SDN. BHD.,True,FLAGGED_FOR_REVIEW,0,635.0,True,2017-04-15,True,BEMED (SP) SDN. BHD.,True,VERIFIED,1
464.jpg,15.15,2018-05-06,THE MARCO POLO KITCH BUKIT INDAH,15.15,True,2018-05-06,True,THE MARCO POLO KITCH BUKIT INDAH,True,VERIFIED,0,15.15,True,2018-05-06,True,THE MARCO POLO KITCH BUKIT INDAH,True,VERIFIED,0
601.jpg,27.90,2018-01-28,99 SPEED MART S/B,27.9,True,2018-01-28,True,99 SPEED MART S/B (519537-X),True,FLAGGED_FOR_REVIEW,0,27.9,True,2018-01-28,True,99 SPEED MART S/B (519537-X),True,VERIFIED,1
135.jpg,99.00,2017-12-04,ASO ELECTRICAL TRADING SDN BHD,99.0,True,2017-12-04,True,ASO ELECTRICAL TRADING SDN BHD,True,FLAGGED_FOR_REVIEW,0,99.0,True,2017-12-04,True,ASO ELECTRICAL TRADING SDN BHD,True,VERIFIED,1
424.jpg,$8.20,2018-05-15,UNIHAKKA INTERNATIONAL SDN BHD,8.2,True,2018-05-15,True,UNIHAKKA INTERNATIONAL SDN BHD,True,VERIFIED,0,8.2,True,2018-05-15,True,UNIHAKKA INTERNATIONAL SDN BHD,True,VERIFIED,0
387.jpg,82.80,2016-02-03,99 SPEED MART S/B,82.8,True,2016-02-03,True,99 SPEED MART S/B (519537-X),True,VERIFIED,0,82.8,True,2016-02-03,True,99 SPEED MART S/B (519537-X),True,VERIFIED,0
146.jpg,72.93,24 MAR 18,PAPPARICH BMC,72.95,False,2018-03-24,True,PappaRich BMC,True,VERIFIED,0,72.95,False,2018-03-24,True,PappaRich BMC,True,VERIFIED,0
242.jpg,12.60,2017-01-05,SEGI CASH & CARRY SDN.BHD,12.6,True,2017-01-05,True,Segi Cash & Carry Sdn.Bhd,True,VERIFIED,0,12.6,True,2017-01-05,True,Segi Cash & Carry Sdn.Bhd,True,VERIFIED,0
210.jpg,7838.80,2018-01-29,KAISON FURNISHING SDN BHD,7838.8,True,2018-01-29,True,KAISON FURNISHING SDN BHD,True,FLAGGED_FOR_REVIEW,0,7838.8,True,2018-01-29,True,KAISON FURNISHING SDN BHD,True,VERIFIED,1
568.jpg,4.10,2018-06-26,RESTORAN WAN SHENG,4.1,True,2018-06-26,True,RESTORAN WAN SHENG,True,VERIFIED,0,4.1,True,2018-06-26,True,RESTORAN WAN SHENG,True,VERIFIED,0
196.jpg,5.75,2018-03-11,POPULAR BOOK CO. (M) SDN BHD,5.75,True,2018-03-11,True,POPULAR BOOK CO. (M) SDN BHD,True,VERIFIED,0,5.75,True,2018-03-11,True,POPULAR BOOK CO. (M) SDN BHD,True,VERIFIED,0
575.jpg,137.15,2018-05-05,99 SPEED MART S/B,137.15,True,2018-05-05,True,99 SPEED MART S/B (519537-X),True,FLAGGED_FOR_REVIEW,0,137.15,True,2018-05-05,True,99 SPEED MART S/B (519537-X),True,VERIFIED,1
404.jpg,6.85,2016-05-19,ANEKA INTERTRADE MARKETING SDN BHD,6.85,True,2016-05-19,True,Aneka Intertrade Marketing Sdn Bhd (524463-X) - Wellmart @ KP2,True,VERIFIED,0,6.85,True,2016-05-19,True,Aneka Intertrade Marketing Sdn Bhd (524463-X) - Wellmart @ KP2,True,VERIFIED,1
585.jpg,1.50,2018-06-27,SANJUNG REALITI SDN. BHD.,1.5,True,2018-06-27,True,Sanjung Realiti Sdn. Bhd. (779763-K),True,VERIFIED,0,1.5,True,2018-06-27,True,Sanjung Realiti Sdn. Bhd. (779763-K),True,VERIFIED,0
495.jpg,8.70,2017-07-15,SANYU STATIONERY SHOP,8.7,True,2017-07-15,True,SANYU STATIONERY SHOP,True,VERIFIED,0,8.7,True,2017-07-15,True,SANYU STATIONERY SHOP,True,VERIFIED,0
476.jpg,2.00,2017-07-05,SANYU STATIONERY SHOP,2.0,True,2017-07-05,True,SANYU STATIONERY SHOP,True,VERIFIED,0,2.0,True,2017-07-05,True,SANYU STATIONERY SHOP,True,VERIFIED,0
129.jpg,74.20,2018-01-24,SYARIKAT PERNIAGAAN GIN KEE,74.2,True,2018-01-24,True,SYARIKAT PERNIAGAAN GIN KEE,True,FLAGGED_FOR_REVIEW,0,74.2,True,2018-01-24,True,SYARIKAT PERNIAGAAN GIN KEE,True,FLAGGED_FOR_REVIEW,1
